,symbol,direction,open_market_price,close_market_price,is_open,open_price,open_date,close_price,close_date,duration,returns_long,returns_short,win_trades_long,loss_trades_long,win_trades_short,loss_trades_short
0,BTC-USDT,LONG,4376.99,4473.35,False,1000.0000000000001,2017-08-29 03:00:00,1022.0151291184126,2017-09-02 05:00:00,4 days 02:00:00.000000000,0.022015129118412524,,True,False,False,False
1,BTC-USDT,SHORT,4299.53,4600.53,False,1016.7578897827045,2017-09-02 21:00:00,1087.9387222980245,2017-09-03 00:00:00,0 days 03:00:00.000000000,,-0.06542724425229252,False,False,False,True
2,BTC-USDT,SHORT,4303.1,4529.0,False,940.1048460759747,2017-09-03 13:00:00,989.45756498294,2017-09-03 19:00:00,0 days 06:00:00.000000000,,-0.04987856038860661,False,False,False,True
3,BTC-USDT,SHORT,4340.51,4203.67,False,885.7352649002563,2017-09-04 03:00:00,857.8113541964563,2017-09-04 19:00:00,0 days 16:00:00.000000000,,0.0325525076897093,False,False,True,False
4,BTC-USDT,SHORT,4431.61,4674.0,False,909.125954394405,2017-09-05 20:00:00,958.8512325857756,2017-09-07 12:00:00,1 days 16:00:00.000000000,,-0.051859221223791274,False,False,False,True
5,BTC-USDT,LONG,4713.67,4238.12,False,854.5439355168858,2017-09-07 18:00:00,768.3312034980862,2017-09-08 14:00:00,0 days 20:00:00.000000000,-0.1008874189325939,,False,True,False,False
6,BTC-USDT,SHORT,4180.1,4006.2,False,764.1117281366472,2017-09-09 01:00:00,732.3232471139532,2017-09-10 08:00:00,1 days 07:00:00.000000000,,0.043407718037042686,False,False,True,False
7,BTC-USDT,SHORT,3939.9,3407.0,False,792.0094782236897,2017-09-13 05:00:00,684.8844621203865,2017-09-15 01:00:00,1 days 20:00:00.000000000,,0.15641326680363954,False,False,True,False
8,BTC-USDT,SHORT,3816.01,3674.98,False,895.2945700820983,2017-09-16 05:00:00,862.2067654854965,2017-09-16 13:00:00,0 days 08:00:00.000000000,,0.038375719051532364,False,False,True,False
9,BTC-USDT,LONG,3848.01,5323.54,False,923.8128712062244,2017-09-19 21:00:00,1278.0514531877993,2017-10-18 06:00:00,28 days 09:00:00.000000000,0.3834527457049228,,True,False,False,False
10,BTC-USDT,LONG,5688.97,6831.2,False,1272.326605944375,2017-10-19 14:00:00,1527.7840295391281,2017-11-10 11:00:00,21 days 21:00:00.000000000,0.20077975450740637,,True,False,False,False
11,BTC-USDT,SHORT,6400.0,6789.97,False,1520.503741886871,2017-11-10 18:00:00,1613.152311296812,2017-11-11 01:00:00,0 days 07:00:00.000000000,,-0.057433243445847326,False,False,False,True
12,BTC-USDT,LONG,7245.0,10064.02,False,1419.7076667386523,2017-11-15 15:00:00,1972.1140582762087,2017-11-29 18:00:00,14 days 03:00:00.000000000,0.38909868875086273,,True,False,False,False
13,BTC-USDT,LONG,10459.01,15600.01,False,1963.29532179117,2017-12-01 18:00:00,2928.3294167321255,2017-12-08 04:00:00,6 days 10:00:00.000000000,0.4915379180247461,,True,False,False,False
14,BTC-USDT,LONG,16089.02,17849.98,False,2915.611192411965,2017-12-11 05:00:00,3234.7278748071494,2017-12-18 00:00:00,6 days 19:00:00.000000000,0.10945104176637233,,True,False,False,False
15,BTC-USDT,LONG,18753.31,16852.0,False,3218.73699323238,2017-12-18 10:00:00,2892.404370745861,2017-12-19 10:00:00,1 days 00:00:00.000000000,-0.10138530211466679,,False,True,False,False
16,BTC-USDT,SHORT,16010.0,15250.0,False,2876.5154031995176,2017-12-21 13:00:00,2739.966264759066,2017-12-21 16:00:00,0 days 03:00:00.000000000,,0.049836065573770405,False,False,True,False
17,BTC-USDT,SHORT,12482.78,13347.56,False,2998.461689303277,2017-12-30 12:00:00,3206.1886299107127,2017-12-31 02:00:00,0 days 14:00:00.000000000,,-0.06478936974248473,False,False,False,True
18,BTC-USDT,SHORT,13203.06,13864.98,False,2774.6026578658852,2018-01-01 01:00:00,2913.7041230788423,2018-01-02 13:00:00,1 days 12:00:00.000000000,,-0.047740422272516736,False,False,False,True
19,BTC-USDT,LONG,15119.97,15477.74,False,2620.711595022472,2018-01-04 03:00:00,2682.7230928859726,2018-01-08 08:00:00,4 days 05:00:00.000000000,0.023662083985616533,,True,False,False,False
20,BTC-USDT,SHORT,13394.0,14399.95,False,2668.9341626974106,2018-01-10 08:00:00,2869.3831936788547,2018-01-10 15:00:00,0 days 07:00:00.000000000,,-0.06985788145097738,False,False,False,True
21,BTC-USDT,SHORT,12920.0,13656.49,False,2454.085506589388,2018-01-11 03:00:00,2593.9778776999156,2018-01-11 08:00:00,0 days 05:00:00.000000000,,-0.053929670068956215,False,False,False,True
22,BTC-USDT,SHORT,13949.26,13850.0,False,2301.068170679708,2018-01-11 16:00:00,2284.694253595815,2018-01-12 03:00:00,0 days 11:00:00.000000000,,0.0071667870036100645,False,False,True,False
23,BTC-USDT,SHORT,13301.99,14195.0,False,2305.519105460485,2018-01-14 14:00:00,2460.296820401428,2018-01-15 12:00:00,0 days 22:00:00.000000000,,-0.06291017964071854,False,False,False,True
24,BTC-USDT,SHORT,10519.97,11334.96,False,2138.3502691123017,2018-01-22 13:00:00,2304.0098751590713,2018-01-23 16:00:00,1 days 03:00:00.000000000,,-0.07190056250749888,False,False,False,True
25,BTC-USDT,LONG,10520.0,10956.84,False,1961.1405266904264,2018-01-26 10:00:00,2042.57632780064,2018-01-30 01:00:00,3 days 15:00:00.000000000,0.0415247148288973,,True,False,False,False
26,BTC-USDT,SHORT,10323.02,9399.96,False,2032.1666639789635,2018-01-30 15:00:00,1850.4551337433904,2018-02-01 20:00:00,2 days 05:00:00.000000000,,0.09819829020549031,False,False,True,False
27,BTC-USDT,SHORT,9057.26,7188.38,False,2203.7833775404583,2018-02-04 00:00:00,1749.0535057450354,2018-02-05 20:00:00,1 days 20:00:00.000000000,,0.25998625559583655,False,False,True,False
28,BTC-USDT,LONG,8629.95,10101.1,False,2648.2358734393392,2018-02-13 05:00:00,3099.6813864736305,2018-02-18 09:00:00,5 days 04:00:00.000000000,0.17047028082433835,,True,False,False,False
29,BTC-USDT,SHORT,9757.0,10260.92,False,3084.7368015978573,2018-02-24 11:00:00,3244.054273060519,2018-02-26 15:00:00,2 days 04:00:00.000000000,,-0.04911060606651252,False,False,False,True
30,BTC-USDT,LONG,11117.97,9910.02,False,2908.9644733410837,2018-03-02 03:00:00,2592.910046537237,2018-03-07 16:00:00,5 days 13:00:00.000000000,-0.10864843132334412,,False,True,False,False
31,BTC-USDT,SHORT,9700.76,8923.0,False,2578.6051727855533,2018-03-07 18:00:00,2371.8650865257455,2018-03-09 11:00:00,1 days 17:00:00.000000000,,0.08716351003025902,False,False,True,False
32,BTC-USDT,SHORT,9078.99,8185.01,False,2772.474036371152,2018-03-13 14:00:00,2499.477112810813,2018-03-15 08:00:00,1 days 18:00:00.000000000,,0.1092216136571611,False,False,True,False
33,BTC-USDT,LONG,8715.0,7905.0,False,3031.7638869436178,2018-03-22 12:00:00,2749.982045472094,2018-03-26 17:00:00,4 days 05:00:00.000000000,-0.09294320137693635,,False,True,False,False
34,BTC-USDT,SHORT,8134.23,7103.07,False,2734.949506047813,2018-03-26 23:00:00,2388.24545014378,2018-03-30 05:00:00,3 days 06:00:00.000000000,,0.14517103168066758,False,False,True,False
35,BTC-USDT,SHORT,6764.08,7120.0,False,3068.333255065748,2018-04-04 22:00:00,3229.786279297129,2018-04-09 01:00:00,4 days 03:00:00.000000000,,-0.04998876404494379,False,False,False,True
36,BTC-USDT,LONG,7120.0,8800.02,False,2890.505120045023,2018-04-09 06:00:00,3572.542537429579,2018-04-26 00:00:00,16 days 18:00:00.000000000,0.23595786516853945,,True,False,False,False
37,BTC-USDT,LONG,9288.88,8422.99,False,3555.738613520145,2018-04-27 14:00:00,3224.280083744655,2018-05-11 20:00:00,14 days 06:00:00.000000000,-0.09321791217025077,,False,True,False,False
38,BTC-USDT,SHORT,8200.0,7450.17,False,3206.6520351317663,2018-05-16 05:00:00,2913.42716982654,2018-05-29 13:00:00,13 days 08:00:00.000000000,,0.10064602552693436,False,False,True,False
39,BTC-USDT,LONG,7595.0,6749.33,False,3483.9646945041004,2018-06-01 08:00:00,3096.040478151068,2018-06-10 17:00:00,9 days 09:00:00.000000000,-0.11134562211981569,,False,True,False,False
40,BTC-USDT,SHORT,6388.9,6728.0,False,3078.9324647021645,2018-06-15 23:00:00,3242.351206391736,2018-06-18 17:00:00,2 days 18:00:00.000000000,,-0.05040130796670628,False,False,False,True
41,BTC-USDT,LONG,6756.04,6122.24,False,2899.0783854677484,2018-06-20 14:00:00,2627.109024612949,2018-06-22 13:00:00,1 days 23:00:00.000000000,-0.09381235161425927,,False,True,False,False
42,BTC-USDT,SHORT,6091.74,6408.27,False,2612.7409373467394,2018-06-27 11:00:00,2748.500324467392,2018-06-30 01:00:00,2 days 14:00:00.000000000,,-0.04939398620844637,False,False,False,True
43,BTC-USDT,LONG,6344.57,7672.98,False,2463.04232294537,2018-07-01 03:00:00,2978.747887266334,2018-08-01 00:00:00,30 days 21:00:00.000000000,0.20937746766132315,,True,False,False,False
44,BTC-USDT,SHORT,6314.97,6256.95,False,2964.5992327197837,2018-08-12 16:00:00,2937.3614077606144,2018-08-15 02:00:00,2 days 10:00:00.000000000,,0.009272888547934954,False,False,True,False
45,BTC-USDT,LONG,6501.38,6700.0,False,2976.491960013704,2018-08-17 07:00:00,3067.4250900719258,2018-09-05 23:00:00,19 days 16:00:00.000000000,0.030550436984147833,,True,False,False,False
46,BTC-USDT,LONG,6498.01,6741.0,False,3051.710905741703,2018-09-15 07:00:00,3165.828186722523,2018-10-15 19:00:00,30 days 12:00:00.000000000,0.03739452540085364,,True,False,False,False
47,BTC-USDT,SHORT,6634.0,5675.12,False,3149.6625850821156,2018-10-18 18:00:00,2694.409576402052,2018-11-15 15:00:00,27 days 21:00:00.000000000,,0.16896206600036656,False,False,True,False
48,BTC-USDT,SHORT,5561.37,4867.06,False,3589.72100614232,2018-11-19 04:00:00,3141.561795053205,2018-11-20 14:00:00,1 days 10:00:00.000000000,,0.14265490871285724,False,False,True,False
49,BTC-USDT,LONG,4025.99,3658.6,False,4020.378881948327,2018-11-30 12:00:00,3653.5009221324817,2018-12-06 18:00:00,6 days 06:00:00.000000000,-0.09125457340927323,,False,True,False,False
50,BTC-USDT,SHORT,3438.97,3409.71,False,3633.5488346418715,2018-12-11 06:00:00,3602.6332875735284,2018-12-17 12:00:00,6 days 06:00:00.000000000,,0.008581374955641374,False,False,True,False
51,BTC-USDT,LONG,3552.02,3797.96,False,3645.6503081924548,2018-12-17 20:00:00,3898.0732215760654,2018-12-25 00:00:00,7 days 04:00:00.000000000,0.06923947500295613,,True,False,False,False
52,BTC-USDT,SHORT,3719.12,4007.11,False,3878.4595403986673,2018-12-27 17:00:00,4178.787995258799,2019-01-06 17:00:00,10 days 00:00:00.000000000,,-0.07186975151667918,False,False,False,True
53,BTC-USDT,LONG,3539.33,3789.98,False,3557.1822419458263,2019-01-15 21:00:00,3809.0965107322127,2019-02-24 14:00:00,39 days 17:00:00.000000000,0.0708184882449503,,True,False,False,False
54,BTC-USDT,LONG,3849.93,7487.37,False,3789.9441859752496,2019-03-01 21:00:00,7370.709181659278,2019-05-17 02:00:00,76 days 05:00:00.000000000,0.9448067886948595,,True,False,False,False
55,BTC-USDT,LONG,7974.23,8115.82,False,7341.691482903429,2019-05-19 18:00:00,7472.050162934516,2019-06-03 23:00:00,15 days 05:00:00.000000000,0.017755946342154827,,True,False,False,False
56,BTC-USDT,SHORT,7716.72,8140.57,False,7433.534434655338,2019-06-09 15:00:00,7841.830131548404,2019-06-12 15:00:00,3 days 00:00:00.000000000,,-0.052066378644247124,False,False,False,True
57,BTC-USDT,LONG,8097.99,12609.38,False,6985.522789890143,2019-06-13 07:00:00,10877.15733859698,2019-06-26 21:00:00,13 days 14:00:00.000000000,0.5570999717213776,,True,False,False,False
58,BTC-USDT,SHORT,10666.14,10542.99,False,10830.714370262915,2019-07-01 12:00:00,10705.664213908518,2019-07-02 14:00:00,1 days 02:00:00.000000000,,0.011680747112536416,False,False,True,False
