datetime,BTC-USDT,cash,total,fees,returns,equity_curve,drawdown
2017-07-18 00:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,,,
2017-08-17 04:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 05:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 06:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 07:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 08:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 09:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 10:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 11:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 12:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 13:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 14:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 15:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 16:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 17:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 18:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 19:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 20:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 21:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 22:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-17 23:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 00:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 01:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 02:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 03:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 04:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 05:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 06:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 07:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 08:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 09:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 10:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 11:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 12:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
2017-08-18 13:00:00.000,"{'open_price': 0.0, 'current_value': 0.0, 'is_open': False, 'trailing_sl': 0.0}",100.0,100.0,0.0,0.0,1.0,0.0
