"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 26, 2019","10,343.4","10,132.3","10,574.0","10,129.7","0.08K","2.08%"
"Aug 25, 2019","10,132.3","10,132.0","10,310.0","9,924.6","0.07K","0.00%"
"Aug 24, 2019","10,131.9","10,374.4","10,406.0","9,900.0","0.06K","-2.52%"
"Aug 23, 2019","10,394.4","10,129.0","11,097.0","10,031.6","0.07K","2.62%"
"Aug 22, 2019","10,129.0","10,152.7","10,250.0","9,786.7","0.04K","-0.23%"
"Aug 21, 2019","10,152.7","10,740.2","10,792.5","9,894.6","0.04K","-5.47%"
"Aug 20, 2019","10,740.2","10,917.4","10,936.5","10,562.1","0.03K","-1.62%"
"Aug 19, 2019","10,917.4","10,326.0","10,917.4","10,265.1","0.04K","5.73%"
"Aug 18, 2019","10,326.0","10,220.0","10,492.0","10,081.0","0.03K","1.04%"
"Aug 17, 2019","10,220.0","10,351.0","10,452.0","10,020.0","0.04K","-1.27%"
"Aug 16, 2019","10,351.0","10,290.6","10,519.7","9,782.3","0.06K","0.59%"
"Aug 15, 2019","10,290.6","10,032.6","10,446.6","9,619.6","0.07K","2.57%"
"Aug 14, 2019","10,032.6","10,896.6","10,896.6","9,969.6","0.04K","-7.93%"
"Aug 13, 2019","10,896.6","11,388.0","11,444.0","10,818.2","0.03K","-4.35%"
"Aug 12, 2019","11,392.6","11,525.0","11,537.6","11,267.0","0.03K","-1.15%"
"Aug 11, 2019","11,525.0","11,326.9","11,578.9","11,141.0","0.03K","1.75%"
"Aug 10, 2019","11,326.9","11,889.2","11,956.9","11,277.1","0.03K","-4.63%"
"Aug 09, 2019","11,876.8","11,999.1","12,004.9","11,473.0","0.03K","-0.83%"
"Aug 08, 2019","11,976.3","11,860.8","12,000.0","11,416.0","0.04K","0.87%"
"Aug 07, 2019","11,873.1","11,445.0","12,046.6","10,750.0","0.04K","3.74%"
"Aug 06, 2019","11,445.0","11,793.2","12,217.4","11,240.0","0.04K","-2.92%"
"Aug 05, 2019","11,789.5","10,893.1","11,801.1","10,885.0","0.04K","8.23%"
"Aug 04, 2019","10,893.1","10,798.0","11,000.0","10,553.9","0.03K","0.88%"
"Aug 03, 2019","10,798.0","10,499.3","10,894.0","10,432.0","0.04K","2.96%"
"Aug 02, 2019","10,487.5","10,387.6","10,644.3","10,307.4","0.06K","0.96%"
"Aug 01, 2019","10,387.6","10,081.4","10,471.0","9,883.0","0.04K","3.04%"
"Jul 31, 2019","10,081.4","9,573.1","10,087.0","9,553.6","0.05K","5.31%"
"Jul 30, 2019","9,573.1","9,498.8","9,716.4","9,388.3","0.06K","0.78%"
"Jul 29, 2019","9,498.8","9,535.1","9,703.9","9,426.1","0.05K","-0.38%"
"Jul 28, 2019","9,535.1","9,481.1","9,597.2","9,188.5","0.05K","0.57%"
"Jul 27, 2019","9,481.1","9,840.5","10,189.4","9,367.2","0.06K","-3.65%"
"Jul 26, 2019","9,840.5","9,895.1","9,895.1","9,650.9","0.05K","-0.55%"
